Region;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Gorod Sankt-Peterburg gorod federal'nogo znacheniya;17332156;28480972;33732683.1;42771783.2;52708719.2;63258865.5;67475905.2;76386093.1;86587863.3;102242906.9;111146757.2;121690899.4;136571801.9;153446295.8;176160324.8;191583615.8;203743016.3;227610412
Respublika Adygeya (Adygeya);900271.2;1124309.8;1387714.8;1717314.2;2123524.7;2575753.2;2515403.3;3213536.3;3557453;4275427.5;4461648.5;4637762;4703018.7;5318473.1;5898453.6;6573943.4;7064600.7;7880958.9
Respublika Kalmykiya;837895;874527.4;1051554.2;1354283.4;1526271;1820148.2;1801934.3;1979925.1;2278176.6;2732209;2982576.2;3081325.7;3260303.2;3774673.2;4343556.8;4565766.6;4795281;5523826.2
Respublika Krym;;;;;;;;;;;9354122.7;12441326.9;14577791.1;15572872.8;16252377.5;18776528;20124028.4;18872426.7
Krasnodarskij kraj;10146049.3;12241612.1;14506445.2;19140087.9;24688610.5;30537195.6;32407229.3;34332530.7;47208735.4;53656610.9;59496036.3;63053573.4;64923826.3;71407820.2;79384959.9;89318035.6;91618458;99517830.5
Astrahanskaya oblast';2160041.1;2452039.8;3096261.4;3752259.5;4722476;5802304.4;5773374.8;6491045.3;7799064.6;9236949;10438176.8;10627849.5;10019233.4;10673099.3;12262987.1;13634475.3;14106791.8;15527785.3
Volgogradskaya oblast';4622777.6;5562806;7074108.6;8849840.4;11589141.2;15616900.9;16532539.9;18525690.4;20881502.5;23277720.8;25063472.7;26659129.7;26944310.2;27201787.4;31733593.9;33876414.2;33929237.3;34052475
Rostovskaya oblast';8239129.7;10087341.1;12437891.3;15936300;19916992.9;25079561.4;25102341.9;27034411.6;31742212;37909002.7;40569053.6;42788026.5;37795701.2;46081976.6;52725943.7;56781676;60503655.6;64721188.6
Gorod federal'nogo znacheniya Sevastopol';;;;;;;;;;;1756752.7;2351689.8;2239227.6;2889747;3325558.5;3578229.3;3862845;4214595.6
Respublika Dagestan;4550017.9;5191752;6959207.9;8305831.4;10510931.5;12855159.7;13524302.7;16461836.8;18905471.3;25030073.9;27459643.1;28456233.6;29372891.8;32442565.4;36992587.5;41918140.8;45406381.2;51041322.7
Respublika Ingushetiya;546702.2;709867;910222.3;1189001.6;1468684.7;1955560.5;2180721.2;2685141.7;3443799.6;3862044.3;4464932.9;5023195.8;4998004.1;5722997.9;6555599.8;7252963;8082235.7;9352656.1
Kabardino-Balkarskaya Respublika;2009757.2;2504881.2;2840965.6;3398071.1;4124393.6;5212097.6;5359070.4;6125077.5;7207655.2;9046190.8;9629474.3;9587130.5;9775442.7;10151281.3;11065291.7;11944490.7;12688928.4;14300313.1
Karachaevo-CHerkesskaya Respublika;797440;927338.5;1153003.6;1389866.4;1835125;2063628.7;2235638.8;2445237.7;2898980;3803780;4291103.2;4377480.7;4454455.7;4863443.5;5748370.6;6512270;7079283.4;7631190.5
Respublika Severnaya Osetiya-Alaniya;1543310.3;1808558.9;2079054;2794271.4;3483807.7;4264233.5;4085126.4;4566045.9;6028813.1;7424144.2;8272136.4;8755336.8;8810584.2;10316647;10817583.5;10769640.1;11067643;12150143.4
CHechenskaya Respublika;0;1948698.8;2580728.5;3291227;4540150.6;5606484.1;6365237.3;7872065.7;9849112.6;14175416.6;16405537.1;18232588.7;19322025.2;21303146.8;24421943.5;25918332.4;28426549.5;29841139
