Region;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Gorod Sankt-Peterburg gorod federal'nogo znacheniya;104243074.1;139590161;181351458.9;230696448.8;299475535.7;331954422.2;402382601.5;501845066.8;534260433.1;518764686.4;527670408;602431772.8;615149074.2;644980776.6;710989389;714745351.2;729838458.7;998833974.3
Respublika Adygeya (Adygeya);1754916.3;2203034.1;2651658.9;3567075.8;4558611;5637814.4;7162914.4;8178814.1;9618839.2;10817301.5;12455762.2;15402054.1;16032674.1;16485224.3;16985924.6;17339825.5;18637999.8;21286655.3
Respublika Kalmykiya;227041.9;193202.3;222989;296434.5;591292.9;813769.7;992121.9;1110411.4;793406.2;762226.9;636239.1;706873.3;594983.1;566387.2;508196.6;711638.3;790450.5;816575.3
Respublika Krym;;;;;;;;;;;16814577.8;23747928.8;33182815.6;27415138.9;35933661;39440729.9;45860944.3;51101860.9
Krasnodarskij kraj;36119276.1;48642232.1;57239552.5;78420929.9;95693663.9;87635557.9;103207744.8;136995306.6;171753213.4;181216979.8;216901168.2;219414820.3;230920119.1;274694875.8;294079928.2;267921022.1;257608317.7;319373341
Astrahanskaya oblast';14155281.7;19455507.5;19911530.9;21306391.6;45389330;19948077.6;25939414.5;9353557.1;11508915.9;14000761.1;15812426.5;13448664;14271155.6;14458812.3;15337518.4;25966131.8;25830920.9;23807858.1
Volgogradskaya oblast';31929639.7;53956675;69298469.1;89171192;127336845;87402279.5;115549929.4;130763610;152521648;161758520.5;218797502.5;183252539.2;177751355.6;189793453.5;233894791.6;236360432.7;241806740.6;192659569.6
Rostovskaya oblast';38530814.7;48854901.7;62873691.5;93516524.7;119074812;100154092.6;125160162.9;147657709;150788261.7;161048773.3;171385675.6;212780123.6;254961453.8;277817677.6;299062132.6;288120639.9;293273632.6;344240692.6
Gorod federal'nogo znacheniya Sevastopol';;;;;;;;;;;1852570.8;5152530.3;6295481;6833535;6747443.1;7514504;7836257.3;8892001.1
Respublika Dagestan;5847053.3;5240577.7;4851877;7300758.7;6991471.2;9505399.5;11722208.3;13596020;15231578.4;17358522;19165972;21252414.5;27839944.5;29955666;30723391.2;31326437.5;25545583.8;26525260.9
Respublika Ingushetiya;500074.8;159433.9;252446.8;277106.6;302745.2;428787.2;594745;706303.1;2112928.9;2712348.7;3201751.7;3789334.3;4623589.7;4587315;3316706.7;1407943.2;1457030.7;1516338.4
Kabardino-Balkarskaya Respublika;2843444.7;4270609;5578271.4;6214100.9;6562294.7;7465199.5;8623222.2;14714413.2;19601732;15712961.2;16407718.4;15061007.7;16970127.5;15648736.5;14172782.5;13108515.2;16018244.2;16631506.3
Karachaevo-CHerkesskaya Respublika;1757310.9;1902585.8;2829230.3;3804987.7;4895710.8;4269642.9;5632949;6204870.6;10777815.8;9370948.2;9194533.3;7912041.9;9684183.1;10822072.6;8620109.1;8681057.8;9276689.3;10248703.5
