Region;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Gorod Sankt-Peterburg gorod federal'nogo znacheniya;21442615.2;34728597;44444322.4;52553374.2;66126754.9;76731206.6;84996320.6;102933135.3;115191950.5;136279332.7;160387760.6;183971052.4;206874015.7;234362190.7;269739973.9;298251228.3;339663899.6;360119141.6
Respublika Adygeya (Adygeya);1116776.3;1178475.5;1579344.7;2024765.5;2275045.9;2565382.5;2793204.8;3200592;3531855.4;4270542.8;4899125.4;5107626.6;5166866;5587486.2;7234670.1;7783511.4;8829462.8;8997256.9
Respublika Kalmykiya;736489.5;822669;974320.4;1294752;1543372.9;1732421.3;1740648.4;2019651.8;2405204.1;2638631;2873558.5;2926283.5;3117238;3453988;4541084;4816060.3;6921359.3;6275503.2
Respublika Krym;;;;;;;;;;;18898828.6;25195476.2;28776135.7;29058191.4;34058102.6;38769562;40411108.5;47537578
Krasnodarskij kraj;15501355.5;18328746.9;25102052.4;31298679;39435342.3;45496598;48409585.8;54710156.2;66355260.4;76730130.6;84930690.1;90246408.1;95990462.7;103544119.8;130363454.1;142563098.9;139654703.9;160206928.3
Astrahanskaya oblast';2599146.9;3358047;4420900.1;5054290.5;6306572.7;8059638;8458843.9;9438330.3;11086202.6;13935124.5;15538467.7;15340464.7;14975396.7;15900208.3;18961370.1;20268215.7;21923681.3;21873998.8
Volgogradskaya oblast';6428663.2;7478824;10083483.6;12598461.4;15483054;19096435.7;18282666.7;22230111;24737759.2;27566696.6;29544062.5;30738505.1;31024769.6;33521839.4;39439117.8;42872581.6;50824715.4;50992550.8
Rostovskaya oblast';8466674.4;9500697.6;13531754.4;17777997.1;20720766;26030579;27177805.4;32535586.5;38707286.3;46152652.5;51402089.7;54835958.3;56451877.2;61688282.7;74913065.1;79147098.4;84059133.1;88471823.9
Gorod federal'nogo znacheniya Sevastopol';;;;;;;;;;;3070064.3;4014655.1;3837613.4;5276440.7;5947535.4;7101838.2;8917782.2;9951473.2
Respublika Dagestan;2975765.1;3293465.9;4704241.4;6065987.9;8502612.1;10369880.9;10772304.5;12797659.8;16070769.5;19488401.4;23920132.6;25987560;26012374.5;29013244.1;36013203;38917862.8;45068997.9;48893234.2
Respublika Ingushetiya;576813.2;526060.4;712301.7;1010800.1;1283718.7;1511939.2;1662994.5;1874259.1;2351614.5;2727377.6;3421513.8;3829339.8;4016470.2;4348609.5;5742137.7;5796602.1;7116135.8;6829853.6
Kabardino-Balkarskaya Respublika;1252590.8;1451287.7;2005808.7;2541610.2;3281998.4;3773015;3874247.1;4366309.9;5323328.4;6946821.3;8074469.1;8054081.9;8421943.6;9055366.8;11102234.7;11520760.7;13933219.6;12930016.7
Karachaevo-CHerkesskaya Respublika;991634.9;1114378.4;1411802;1793039.3;2353156.5;2642434.3;2848965.8;3148296.8;3112261.7;3871999.9;4397089.2;4535594.2;4648817;4646046.3;5963483.5;6377460;7984997.3;7261744.9
Respublika Severnaya Osetiya-Alaniya;2079498.7;1756761.8;1944215.9;2677769.6;3118829.7;3697519;3852078.4;4441845.3;5329662.6;7616822;9026651.8;8978496.4;9460160.2;9906342.5;11981856.8;11786361;14224957.1;14648992
CHechenskaya Respublika;0;1175944.1;1428690.5;2164881.1;3328447.3;3624413.2;4245423.8;5199468.9;6144635.9;9512910.6;11022042;12607199.7;13031999.9;14828698.1;18273178.4;20350592.7;23807845.7;23249280.5
Stavropol'skij kraj;7040224;8740906.5;11001447.6;14193158.4;17320575.6;21886373.1;21728359.4;25965262.1;31619030.7;38701693.2;43728250.9;46156532.6;49770392.1;54246895.4;63463066.2;68263264.1;65682980.2;73357568.8
Respublika Bashkortostan;11187072.7;12485504.5;16820261.2;18929718.3;24461769.3;28516475.7;27922264.6;36057707.8;42916044.5;51508635.5;56557031.3;57522490.9;62045103.1;63228788.3;73694724.5;80470738.9;88629346;89659180.3
Respublika Marij El;1565710.5;1675492.6;2185374.6;2577221.9;3218647.3;3470355.6;3609548.4;4280561;4906806.6;5794717.8;6335315.6;6504455.4;6579605.6;7193674.8;8993341.4;9642515.9;11171081;11295544.4
Respublika Mordoviya;1725538.3;1753364.5;2222170.1;2767036.8;3479445.9;3799016.9;3964465.4;5678561.2;6807343.9;8056537;9103151.4;9544366;10338683;10519869.2;12181069.8;12609073.4;15943550.4;15324249.5
Respublika Tatarstan (Tatarstan);12132138.6;11212276.4;14020178.4;17535165.4;18694561;19515267;22606538.8;27497355.3;29877936.3;36961518;41594365.2;46544322.5;47632562.7;48685920.9;59408093;65485071;75652201;77536603.1
Udmurtskaya Respublika;4603499.9;4928778.9;6510452.7;8119144.4;9904272.8;11124819.4;12021074.4;14542864.7;16421744.5;19554286.2;23091467.4;24110302.7;24890584;27152004.8;32361826.6;33040644.9;36832222.5;38972772.6
CHuvashskaya Respublika - CHuvashiya;3043311.7;3416821.6;4435409.9;5784115.3;7235748.7;8291029.5;7881871.4;9060085.5;10022234.7;12178120;13066368.2;13205819.2;13742007.9;14532008.3;17028114.7;18549159.1;22171305.6;21522930.1
Permskij kraj;8963429.7;10330992.5;14510758.4;18277862.6;19738892.1;21814629.1;21125680;24305685.5;28352582.3;34415159.7;39917172.6;41047258.5;40574512.3;42348958.8;48138272.6;51471462.3;56764138.8;59386261.8
Kirovskaya oblast';4080946.1;4109425.7;5542493.2;7050069.2;8907543.5;10011814.5;10407670.1;11683155.7;13885879.9;16005362.1;16823970.6;16820896.6;16842410.9;18813185.7;22195547;24312668.4;28125719;31506592.3
Nizhegorodskaya oblast';8440695.7;9960767.8;12185874.5;15395076.4;20668654.5;24547480.3;25224810.8;32806374.5;36818628.1;43797957.3;48055480.4;48741148;50520503.5;54820885.4;63050773.2;66077274.9;71382031.5;72146686.7
Orenburgskaya oblast';6418360.1;8507332.6;11721388;13544618.6;13219997.3;14823173;15801780.1;18724345.9;19899087.1;23197069.6;26288349.3;27240483;29307464;30482765.4;35952194.2;38314607.1;40715431;43779195.1
Penzenskaya oblast';3130786.2;3342373.3;4624570.9;5894510.1;8099631.7;8980722.2;9195147.4;12020267.5;13328238.3;15470577.9;17026399.6;17556943.7;19054222.2;21171447.9;24650548.9;26678804.5;32101159.6;30335974.7
Samarskaya oblast';8656813.3;9235657.4;12360178.2;15840134.8;19344182.4;22731510.3;24155306;29072280.6;33327185.3;39153096.9;43286074.4;45683334.4;48269546;47879276.4;55209714.4;57427852.5;66389547.8;72034920.2
Saratovskaya oblast';5510397.5;6217246.1;7732277.7;10447993;14778887.9;17510154.4;17445813.6;23558217.4;25998495;30599765.3;33429035.5;34614222.6;35426584.5;37769728.2;45941083.8;49701171.8;61739415;60932305.7
Ul'yanovskaya oblast';2973038;3401756.9;4272128.4;5487637.2;7080779.4;8157531.8;7994943.4;9650124.7;11544223.6;12540253.7;13860203.1;14516676;15311332.6;16981603;21121529.2;23273008.7;26930160.6;27580634.8
Kurganskaya oblast';2514869.3;2739734;3469712.2;4221979.2;5531525.5;6324055.5;6418494.4;7931630.9;9296040.4;10870353.2;12030297.2;12348922.8;13018925.2;14183998.3;16010464.6;17449014.4;18563678.7;18989139.2
Sverdlovskaya oblast';16650611.9;17947313.2;24894957.6;33929543.3;44681138.3;44140408.1;46436072.9;57354170;64563045.6;76823989.4;75592064;76326631.4;78644895;82370539.5;94486087.4;104022141.8;110358008.2;120256463.7
Tyumenskaya oblast';28622376.9;30924407.5;40830006.1;50255248.9;56374006.3;58634244.5;60703230.3;76283584.8;89373561.3;101663511.5;107944770.4;113735952.8;113727119.8;121909285.6;144620287.8;156011637.1;174940305.9;182111823.9
CHelyabinskaya oblast';10609428.7;12596687.4;15967311.8;20833990.6;25335477.5;26065329.6;26823786.3;34035449.1;38760178.8;45808463.6;50831538.1;54980494;58110826.1;61989147.1;72292237.9;78049217;89517456;90755725.2
Respublika Altaj;677644.7;770710.3;1045979.2;1256294.7;1548243.4;1605872.3;1596540.3;1874585.8;2066630.3;2370817.9;2732654.3;2805006.6;2907578.3;3046041.3;3780892.7;4341601.2;5379193.6;5208736.1
Respublika Tyva;1615983.7;1567412.1;2071946.8;2476499.4;2921755.7;3405530.3;3629428.4;4182279.1;4687551.3;5537735.9;5948585;5936945.9;6134644.7;6563498.7;8673115.6;9503030.8;12601842.6;11262414.8
Respublika Hakasiya;1746476.9;2056058.2;3413661.9;2941358.9;3832976.3;4235086.4;4163289.1;5253822.8;6355636.2;8334584.1;9149540.9;9386807.3;9808814;10385139.9;11931211;12589918.2;14701401.2;15502696.4
Altajskij kraj;8089386;8186809.6;9610673.3;11705127;15064883.4;16115038.3;16152779.9;18249395.9;21298036.3;23743651.8;25820419.9;26894292.4;27629000.2;28764513;33665621.8;37296726.7;38469824.1;41066336.3
Krasnoyarskij kraj;12507359.2;14248511.3;17679564.3;22543431.7;26476573.6;29141585.5;30587827.5;37322540.5;43694890.4;53216450.1;57567498.5;59581592.2;61755693.1;66636614.1;79630387.3;85316683;98878182.8;102911855.5
Irkutskaya oblast';9810416.1;10722944.6;14155177.9;18025453.6;22870920.7;23057942;23689633.7;26866831.1;32914933.8;38118494.8;42398591.8;44966472.2;47234914.2;52673760;65361909.6;71046895.6;77405617.1;78746706.4
Kemerovskaya oblast' - Kuzbass;9784442.4;11166211.6;14311874.8;17694685.2;21540367.8;23834725.2;25712261.1;30053276.1;34248943.4;38271135.3;40855175.3;42587190.3;41801056.9;44831968.7;56079706.1;59807165.1;67000780.7;66688299.3
Novosibirskaya oblast';15518573.7;15769695.1;19049873.8;13728006.7;20238268.2;23115857.7;24266815;30437531;36762283.2;40940812.4;43829818.6;46795141.2;47975601.3;49764073.1;57507142.7;63956567.3;69606567.2;74415920
Omskaya oblast';5443665.5;6682824.9;10092366.9;11638359.1;14367723;15580471.8;14380764;17214485.9;20333879.7;24167921.9;26414536;27482139.4;27677378.9;28049792.7;34501186.3;37703466.4;41950359;43046604.6
Tomskaya oblast';3968624.3;4520030.5;6495690.7;7050950.2;9028828;9891919.4;10197507.5;11951315.3;14023675;16532412.1;18096571.4;18693668.5;19186364.8;20832510.4;25480620.6;27003659.6;31969400.2;32942570.6
Respublika Buryatiya;3462283.7;4066958.6;4094232.5;5191857.7;6867237;7214628.2;7395676.2;8791090;10091786.2;12161827.6;12942521.9;13737450.4;14321550.2;14728778.2;16777166;17955296.7;21509757.3;21887733.3
Zabajkal'skij kraj;3943658.1;4708031.1;6597015.9;9160575;11596463.3;12618596.6;11478352.5;13589078.9;15006034.4;17173876.7;18161691.7;17248947.5;16762413.9;18844367.3;23969703.2;24784027.6;27579490.4;28340766.9
Respublika Saha (YAkutiya);7086617.1;7996519.5;9654592;11396617.5;13820953.7;15321257.9;17162139.8;19002186.2;21067071.8;25808211.8;30794106.6;32984422;31810553.7;34480912.3;45839910.2;49397922.5;57174254.9;58039964.2
Kamchatskij kraj;2398081.5;3328550.3;4207208;5110279.1;5737558.6;6742847.9;8047233;8759186.4;9680624.5;11364273.7;12746168;14042434.4;15088114.5;15442243;16792266.5;17857528;20429318.6;20261946.1
Primorskij kraj;6512250.8;7971031.9;10632536.3;12707598.7;17194768.4;17160057.6;18010971.1;21915752.7;25183355.6;30341490.8;34725293.6;36454644;37307279.2;39305100.7;47845099.5;51541934;59896015.1;62690345
Habarovskij kraj;6311720.6;7079163.6;9089797.5;10884029.2;13877199.9;14842839;15940971;19957502;24198042.2;28713899.5;30723201.4;31746949;33562291.1;33441099.8;40225163.8;42114682.6;49039282.4;49704830.4
Amurskaya oblast';3446198.1;3661645.4;4659049;6118474.9;7255751.8;8057879.6;8248755.8;9969814.8;11244233.8;13285432.2;14891291.5;14129133.4;14955838.9;15988565.8;18116059.8;21459563.1;26187360.9;27272301.9
Magadanskaya oblast';1312789.2;1645893.9;2168199;2404711.1;3091423.2;3468903.9;3599489.7;4305686.1;5470875.4;6778866.7;7832413;8161555.4;8396363.1;8814281.1;10698354.9;11782590.3;12699153.8;13171874.5
Sahalinskaya oblast';3250286.5;3907764;5524956;8639107.7;10778945.5;12336795.4;12968352.9;12784980.7;14041766.6;16525170.1;17580017.8;19167268.6;21539846.2;23734510.3;29826666.9;36107469.4;42841237.1;43449149.9
Evrejskaya avtonomnaya oblast';632483;779836.7;1181682.7;1487752.4;1842551.4;2123958.2;2271840;2423767.2;2765888.9;3258594.1;3471684.4;3730071.7;3822508.4;3963443.2;4781291.5;5212758.4;6313764.8;6069736
CHukotskij avtonomnyj okrug;521342.3;945690.3;1275365.4;1610577.9;1905980.8;2000840.2;2185607.8;2481172.3;2593390.4;3192146.3;4035165.9;3459227;3568936.7;3939760.6;4421949.5;4651354.9;5584688;5696731.8
