Region;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Respublika Kalmykiya;50187;63145;73876.7;107061.3;141667.2;146680.4;150697;186648.9;219286.2;199317;191772.3;147893.1;161040.7;174292.9;254257.7;230657.8;205483.2;290315.6
Respublika Krym;;;;;;;;;;;3783442.4;6499252.1;9367599.3;10123325.8;11248145.3;14424102;15235690.6;25059433.5
Krasnodarskij kraj;6678395;8812197;12351782.4;17929100;21804141;24436001.2;27833319;33368909;39797785.9;44932285.3;55941338.5;56779233.6;64957755.2;72569591.4;73569165.1;74797837.6;68897870.8;78612021.3
Astrahanskaya oblast';344338.2;836345;1109552.9;1532310.4;2046575;2142557.1;2398626.9;3165590.6;3809063.1;3652463.8;4514968.6;4801648.7;4960206.7;4870866;5120402.5;5188131.8;4522973.9;5289635.9
Volgogradskaya oblast';1204028.3;1610620;1831552;2311878;3455360;3157785.3;3199591;3747181;3477462;4706927.7;4736613.2;5231232.9;5473895.3;6020340.9;6882664;6777866.2;5469813.2;8380176.9
Rostovskaya oblast';1686611.5;2807075;3850698.6;5235560;6975187;7424011;8837475;9625251.1;11596410.4;12632882.4;14277307.5;15616549.7;15995565.7;17258680.5;20000123.7;20702019.2;18167321;20203315.6
Gorod federal'nogo znacheniya Sevastopol';;;;;;;;;;;1382688.1;2948236.1;2774381.9;3305404.1;3372020.7;3222033.2;3112509.8;4938890.3
Respublika Dagestan;610903.3;1421598;2194427.4;4528472;8437611;8503739.1;10401971.5;20134277.3;27274196.3;26641568.9;27364433.8;30870211.1;28418921;34505629.7;35414270;36751983.6;24931948;27550055.8
Respublika Ingushetiya;261.8;36;35474;25530.6;33565.9;35845;39110;46178;252933.3;270104.5;70931.5;196152.9;261376.9;186168.3;239173.4;244737.7;206409.7;266775.2
Kabardino-Balkarskaya Respublika;224664.2;319381;438518.9;505924;671385;670436;844788;1038150;1225056.1;1285938.6;1672510.4;2024595.3;2599298.9;2172081.8;2871106.2;2709177.8;2282151.9;2892457.3
Karachaevo-CHerkesskaya Respublika;120219.6;95463;163312.4;299180.6;369754.5;390510.2;414631;484070.3;377712.2;342842.4;437133.3;495601.8;574619.3;592648;691242.6;740953.7;648968.3;896369.9
Respublika Severnaya Osetiya-Alaniya;125066.4;172858;205737.9;260147;325013;394256;540561;714127.9;1144746.9;1994177.3;2292244;2476596.3;2587213.1;2007352.9;2372787.5;2398052.4;2639663.4;3724297
CHechenskaya Respublika;0;5434;10053.3;42855;698002.4;718296;1155496;1251891;1501461.3;3152887.1;4917003.7;5513396.9;6077651.1;6474136.5;6725471;7030945;5379190.4;6176421.8
Stavropol'skij kraj;1308865.3;2216697;2939865.2;3645597.5;4465595.4;5185224.9;6852736;8558782.4;10793025.9;11909233.4;12957433.9;14558105.2;15611954.6;15799700.8;16271328;17558531.2;14155557.2;18079227.2
Respublika Bashkortostan;3783947.5;4163786;5541025.7;7279239;8513710.1;7684639;9106931;11280857;13113062.1;14193511.9;17201404;16813377.8;16556577.1;17103388.5;17789412.1;18260109;13921005.6;17088519.6
Respublika Marij El;457268.7;383588;429884.6;629593;617114;730427;735469.2;1108937;1028987.8;1654798.5;1755820.2;1831914.8;1976489.2;2001189.3;2354955.1;2393117.7;1725172.4;2089018.1
Respublika Mordoviya;203871.8;215341;241270;358632;511518;614466;694694;891136;1022330.4;1616670.4;1712168.5;1947899.9;2177732.1;2455518.5;2724653.4;2639447;1598455.7;1900665
Respublika Tatarstan (Tatarstan);2465400.7;2573084;4630709.6;6406748;11166777.6;10205258;11901056;12247653.5;14272048;15829845.5;17048223.4;16165952.2;17008261.4;25258132.2;23376727.4;24298342.6;18112667.2;19977062.6
Udmurtskaya Respublika;816085.6;899380;1217035.3;1750846;2233332;2475411;2622110;3316646;3945778.9;4529236.2;4746285.4;4948936.3;5025818.2;4949669.6;5327883.2;5648100;4281301.9;4791575.2
CHuvashskaya Respublika - CHuvashiya;395926.4;702215;675465.8;898961.4;1359004.4;1319359.6;1885955.7;2055914.5;2192757.6;2871236.1;3851550.6;3895885.7;4582810.6;4440648.1;4728850.5;4972485.7;3744067.7;5149529
Permskij kraj;1301838.3;2254717;2263412.1;4536674;6178550;6608141;6578030;8395757;7970038.5;9179684.8;9241537.3;10705903.2;10120530.1;10647483.2;10643954;10980244.6;7623070.7;9832709.4
Kirovskaya oblast';543792.5;910007;1083777.4;1406449.1;2106106;2229522;2415589;2841439.6;2911843.5;3644451.1;4054626.6;4211908.6;4401922.5;4377536;4587240.1;4683717.7;3564845.9;4362696.9
Nizhegorodskaya oblast';1675335.9;2504982;3375744.4;4957436;6449474;5768050.2;7036809;9074800;9989092;10713529.2;10092973.5;11119739.8;10836970.3;12503657.1;14325804.8;15399832.8;9065521.2;12086033.1
