Region;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Kaliningradskaya oblast';3 695 971.7;5 249 425.2;8 027 373.6;9 901 584.4;12 241 306;13 633 386.1;14 685 787.4;16 291 717;21 230 939.4;23 257 578.8;24 699 743.8;25 964 673.7;29556244.8;30301994.4;32169202.9;34205709.4;36851847.3;38903935.9
Leningradskaya oblast';5 012 577.9;6 449 972;9 185 637.4;11 559 854.6;14 123 792;16 759 684.1;18 244 956.9;20 395 959.6;24 593 291.5;26 832 381.3;28 297 002.4;29 495 938.2;43909834.5;45232879.3;49060405.6;51956448.4;57118954;61298753
Murmanskaya oblast';4 726 197.6;5 987 033.9;11 409 210.6;14 191 013.8;18 547 605.1;21 483 147.8;22 700 090;24 823 863.2;29 535 527.7;32 454 744;32 984 611.7;33 599 181.5;54681456.4;55216825.3;60236129.9;63752460.3;69871203.2;78209944.9
Novgorodskaya oblast';2 211 572.1;2 355 897.3;4 299 326.8;5 290 976.4;7 894 713;8 392 166.9;8 811 872.5;9 404 593.3;11 706 071.3;12 726 030.5;13 047 382.1;12 778 797.4;14021068.8;14612306.6;15715326.2;16053822.2;16827359.2;17416159.2
Pskovskaya oblast';2 334 823.4;2 688 300.5;4 783 347.8;6 257 882;8 532 363.7;8 804 874.8;9 481 445.2;9 967 113.3;13 178 637.7;14 439 631.9;14 976 324.9;13 838 340.4;17452248.8;17960818;19039787.7;20014270.9;22018447.9;23241605.8
Gorod Sankt-Peterburg gorod federal'nogo znacheniya;14 246 954.8;21 534 434;34 693 645.5;43 179 572.6;55 181 077.8;61 741 293;67 080 923.1;75 203 096.9;94 954 345.3;103 644 277.6;113 501 442.2;114 648 719.1;222651784;237463145.6;247170521.1;265557955;271888945.3;292693762.3
Respublika Adygeya (Adygeya);1 049 582.9;1 725 920.2;2 761 771.7;3 381 632.8;4 144 769.4;4 545 631;4 745 104.9;5 437 852.2;6 819 270;7 412 849.1;8 413 423.4;8 394 424.7;9137249.2;9441224.5;9850029;10435911.2;11286301.7;12078347.3
Respublika Kalmykiya;876 741.7;1 057 437;2 042 920.6;2 739 112.1;3 423 859.8;4 019 858.7;4 095 314.4;4 468 862.2;5 643 203.7;6 370 351.1;6 718 482;6 579 438.5;12579460.1;12667044.8;13496468.3;13995391.4;14530717.4;15482570.8
Respublika Krym;;;;;;;;;;;13 998 051.3;22 023 892.4;38123718.7;39531488.7;41401252.3;43449741.8;46514506.3;49340496.8
Krasnodarskij kraj;11 055 355.1;13 981 370.6;22 953 931.2;34 034 239.4;38 249 390.8;47 132 675.9;60 653 076.9;55 415 197.4;76 300 728.6;82 648 075.2;88 920 808.5;89 655 184.2;125969945.9;128970861.8;138688779.2;145875807;157681730.9;168235432.5
Astrahanskaya oblast';2 525 016.2;3 384 611.5;5 649 345.7;7 195 205.3;9 409 347.9;10 378 941.4;10 687 741.6;18 148 888.9;22 022 538.7;24 335 881.1;25 182 105.2;24 653 472.4;33699121.9;34724478;36179241.4;37876298.6;39151926.1;41373046.1
Volgogradskaya oblast';5 899 855.2;7 697 112;13 563 156.5;17 463 282;22 044 517;24 399 648.5;25 270 936.2;28 462 260.1;36 146 185;40 155 352.9;41 666 865.8;41 047 944;63824962.8;64662953.4;68839933.5;71088212.4;71960360.3;76022465.5
Rostovskaya oblast';8 949 727.6;10 044 068.6;19 318 494.7;24 444 395.8;30 725 535.5;35 579 734.9;37 155 710;41 711 854.8;52 785 760.5;59 957 764.3;63 952 535.3;63 140 312.4;82646166.3;83593066.2;88571710.5;96257836.2;108806218.9;114064402.1
Gorod federal'nogo znacheniya Sevastopol';;;;;;;;;;;3 227 113.4;5 438 489;17886838.8;18969041.9;21189459.3;22728553.4;24286009.9;25062803.3
Respublika Dagestan;3 457 565.1;3 738 823.3;7 850 674.1;10 040 251.3;12 712 511.4;15 412 203.6;16 818 305.9;19 846 787.8;28 838 363.6;34 376 047.3;37 468 688.8;35 686 584.3;41662294.4;42155900.3;46549619.7;46978136;52063348.6;54195939.4
Respublika Ingushetiya;790 388.2;1 042 036.4;1 505 963.8;4 681 088.5;7 521 267.2;4 353 964.9;4 481 310;6 545 259.2;10 498 925.2;11 616 992.5;12 132 160.8;12 531 704.5;14534566.8;14881346.3;16801493.1;18734265.3;21017533.6;20830423.9
Kabardino-Balkarskaya Respublika;1 324 693.7;1 885 393.8;3 801 514.4;4 534 380.1;5 811 613.1;6 830 023.5;7 327 552.1;8 089 388.7;12 096 118.1;12 504 959;13 176 939.3;13 444 056.1;17621518.6;18202197.9;19671945.8;20668797.5;21703558.2;22771371.8
Karachaevo-CHerkesskaya Respublika;990 479.9;1 189 622.9;2 138 293.8;2 776 431.6;3 492 589.2;4 032 004.6;4 477 729.8;6 015 951.8;8 888 543.1;9 681 417.1;10 243 000.5;9 944 918.2;11692843.1;12135783.5;12909599.4;13637276;14657699;15475275.4
Respublika Severnaya Osetiya-Alaniya;1 417 660.7;2 047 738.7;3 706 811.6;6 677 295.5;7 625 355.7;8 231 153.1;8 869 655.6;9 948 708.6;17 104 381.7;19 321 553.8;20 347 566.8;20 506 109.4;24028056.1;25505088.3;25932231.9;27228069.9;29471085.8;31315109.6
CHechenskaya Respublika;0;5 396 099.8;10 823 078.6;12 188 588.1;18 090 009.6;14 337 226.6;14 476 380.8;16 465 587.1;21 741 251.1;25 112 457.5;26 783 756.5;26 574 180.4;41012535.7;43358649;46035467.7;45489377.7;49872470.7;52564748.4
Stavropol'skij kraj;5 115 347.2;6 386 023.4;12 090 536.8;15 293 847;20 012 145.5;22 904 646.6;24 522 757.6;32 058 314.5;42 262 111.1;47 032 498.2;49 552 940.8;49 784 374.3;68965289.9;68626210.4;72732986.7;79443302.4;83004611.6;87007383.2
Respublika Bashkortostan;7 550 058.3;9 543 439.9;16 064 813.4;20 413 705.7;25 323 095.2;27 062 355.3;29 566 619.5;34 275 496.9;43 946 345.3;48 031 476;50 490 766.3;50 365 061.3;60841586.1;63395529.4;67827661.9;73719123.8;77037513;82344083
Respublika Marij El;1 508 330.9;1 964 292.6;3 835 814.7;4 897 287.9;6 411 364.9;7 150 990.6;7 157 803.4;7 807 661.1;9 661 761.6;10 915 797.8;11 714 465.3;11 507 990.3;12840859.9;12881701.7;14138396.7;14086479.8;15140824.4;15667573.6
Respublika Mordoviya;1 570 726.1;2 282 690;4 455 493.9;5 629 476.6;7 356 955.8;8 730 388.3;8 249 258.3;9 956 374.6;12 162 615.5;14 648 674.9;15 419 118;15 124 448.8;18948635.9;19492369.3;20770727.2;20695683.6;22031516.1;23692398.9
Respublika Tatarstan (Tatarstan);7 136 943.1;8 635 686.4;14 807 310.8;19 148 135.7;24 060 223.9;27 938 872.5;27 630 041.9;32 030 888.3;41 361 973.2;46 319 816.2;48 988 814.6;49 427 567.6;77096082.2;79011192.9;86045226.8;94047849.8;104811794.3;110588242.7
Udmurtskaya Respublika;2 793 074.6;3 782 023;7 106 612.2;9 008 029.9;11 231 641.2;12 862 948.2;13 831 067.7;15 309 618;19 220 521.9;22 467 820.9;23 249 701.8;23 282 478.2;29811582;30433203.6;31673552.5;32696284.9;33411541.9;34781790.2
CHuvashskaya Respublika - CHuvashiya;1 896 488.1;3 205 440.9;5 348 696.6;6 705 136.8;8 514 275.2;9 497 956.5;9 637 701.5;10 805 097.3;14 205 103.3;16 034 428;16 618 646.4;16 534 389.5;18555436.5;18920750.1;20547523.7;21240136.2;23098090.5;24124890.7
Permskij kraj;7 233 801.1;8 128 620.4;14 813 630.3;19 191 245.7;24 340 036.5;28 075 868.3;32 879 545.4;32 141 800.1;40 795 119.2;45 413 906;48 677 035.1;47 259 492.7;55084508.2;57255702.9;60638911;63477836.4;65757108.7;68806830.7
Kirovskaya oblast';3 329 583.2;4 698 192.4;8 211 883.6;10 390 924.9;13 061 964.6;14 832 779.6;15 362 193.9;17 378 796.5;21 177 571.6;23 469 567.8;24 837 878.1;24 611 953.2;26457029.8;26786258.7;28615341.8;30179590;32323358.3;34010646.9
Nizhegorodskaya oblast';8 091 661.6;9 959 217.3;17 401 249.2;22 617 643.1;28 318 542.1;32 596 244.5;33 495 994.2;37 078 026.1;40 544 074.5;46 664 752.2;48 976 279.4;48 123 198.2;61591149.6;65075311.1;68758602.1;75265771.2;81226558;85014497
Orenburgskaya oblast';5 250 765.3;6 356 161.9;10 253 885.7;12 915 526.9;16 469 730.9;18 356 662.7;19 253 848.6;21 662 431.7;28 101 918.1;30 553 549;32 071 055.3;31 904 817.7;40614220.1;41645616.5;43836215.3;45922905.8;48404577;51391454.2
Penzenskaya oblast';2 767 127.4;3 454 861.6;5 916 750.4;8 186 461.4;10 337 208.4;12 037 558.8;12 488 491.9;13 845 140.7;17 920 279.4;19 895 890.4;20 716 633.9;20 327 781.8;23229661.1;23830043.5;25033391.9;25598773.2;27528144.8;29189050.8
Samarskaya oblast';7 758 390.3;9 723 866.3;16 297 769.6;20 167 877.9;26 332 765.1;29 129 883.9;30 222 835.6;33 999 369.4;43 879 271.7;48 039 994.4;50 174 426.1;50 436 223.8;62971759.3;63054262.1;66393702.8;69174609.6;75594925.5;81189570.6
Saratovskaya oblast';6 094 505.9;6 990 192.9;12 451 391.5;15 320 220.8;19 883 914.6;22 725 726.9;23 593 222;28 646 846.3;36 202 485.7;39 569 329.3;41 088 644.8;40 361 869.1;48677645.9;49831053.6;52791153.2;55941081;60512775;63124284.4
Ul'yanovskaya oblast';2 771 590.2;3 666 367.5;6 417 207;7 922 634.2;9 972 987.1;11 711 030.2;12 680 652;16 582 185.3;20 231 181.2;22 679 357.6;23 656 703.1;23 376 496.4;39515743.3;40358277.6;41258252.1;42404238.7;43814134.8;46418663.7
Kurganskaya oblast';2 060 363.1;3 094 413.6;6 272 604.1;7 134 161.8;8 912 604.4;10 230 911.3;10 701 382.6;11 554 707.7;14 864 498.7;16 527 709.5;17 170 907.4;17 052 549.8;19955082.1;19828967.9;20980351.3;22355989.3;24126905.9;25235260.4
Sverdlovskaya oblast';8 919 340.2;11 832 304.6;22 418 688.3;30 303 895.8;39 937 979.1;44 814 343.9;46 752 370.7;52 543 499.3;70 633 423.4;78 336 965.7;89 099 066.6;90 315 363.1;122248681.1;126379496.2;135322018.8;144982537.6;154066913.4;150734442.9
Tyumenskaya oblast';19 318 465.4;24 626 730.3;39 594 201.3;50 835 733.9;67 265 721.3;70 692 577.9;76 645 553.4;85 404 652.1;102 073 703.2;110 322 467.9;119 638 762.3;116 713 666.7;148600360.1;154503736.9;164958110.5;168330611.8;181396718.7;191142216.9
CHelyabinskaya oblast';7 137 931.3;9 873 585.4;17 812 895.3;22 287 629;28 152 606.4;31 920 529.3;34 759 126.9;36 574 261.7;44 845 292.2;51 238 451.2;53 740 321.9;55 186 221.7;63822884.5;66335496.7;71026651.7;73992655.6;80242805.2;85897839.3
Respublika Altaj;783 135.4;1 104 914.5;2 070 830.3;2 736 425.8;3 427 797.5;3 960 466;4 107 339;4 637 307.9;5 809 910.2;6 387 210.7;6 671 418.9;6 615 567.1;8336252.1;8402275.4;9609728.1;9979598.1;10567917;11137077.6
Respublika Tyva;1 099 094.1;1 416 070;2 246 390.6;3 998 829.8;5 419 243;6 312 819.5;6 641 763.3;7 380 855.7;8 887 356.1;10 018 819.3;11 005 989.7;10 503 445;12294754.7;12412197.5;13460543.5;14450097;15254714.6;16290233.3
Respublika Hakasiya;1 611 323.3;2 172 508.9;4 343 738.8;5 139 149.2;6 711 253.3;8 045 852;8 268 960.9;9 333 664.1;10 839 373.5;12 139 665.4;13 136 882;12 994 403.8;17164833.7;17072564.3;18585247.2;19833580.5;21471290.4;22538063.4
