Region;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Gorod Sankt-Peterburg gorod federal'nogo znacheniya;69967745.6;80995439.8;100848937.7;150945396.6;229957931.6;253852886.5;313892448.5;372160493.3;445453894.6;502938858.7;513534378.1;832020326.4;675880280.9;739492024.6;861633612.5;909449060.4;968275452.3;1361611565
Respublika Adygeya (Adygeya);813420.1;1222657.1;1380612.2;1500012.1;1892960.4;2490944.4;4749515.5;5966253.8;7077943.6;7304230.5;8423002.7;10733551.8;17249372.8;18399902.4;21490709.7;24217639.4;23757259.7;37485410.2
Respublika Kalmykiya;482788.9;557689.4;645451.5;786941.8;867027.9;1247241.1;1338768.4;1728814.2;1309181.2;1920473;1863495.5;2781277.7;4535872.3;5125787.2;5194123;5279654.7;5791025.2;8634579
Respublika Krym;;;;;;;;;;;5413431.8;25467877.7;59798297.6;60325340.5;62021962.1;69606724.4;77864458.9;91125752.2
Krasnodarskij kraj;22258807.3;26534647;32474397.1;45726610.9;54707641.1;60437588.2;73029760.9;85384610.9;108359545.5;137461365;144875951.6;212705197.5;262777910.2;282576174.7;303229914.1;319540511.9;343699711.5;431400951.5
Astrahanskaya oblast';6111312.3;4870395.1;7551383.3;9311603;9929320.4;13291387.1;11890998.4;13819418.2;18756180.8;23006106.1;27096799.1;29935904;28519550;29807255.7;32096090.3;31859150.1;32287356.3;35255617.8
Volgogradskaya oblast';13221421;16507813.2;25949151.6;34144036.8;38681234.5;29925145.4;32768168.9;36821693.5;43361880.4;46708454;50131613.4;70832641.5;86282318.4;84989413.1;85833250.3;91380116.1;109483602.8;118289832
Rostovskaya oblast';15519268.1;20716026.3;26598051.2;34857332.8;42406529.8;44602207.9;57848399.5;74441410.3;83645334.4;84025467.5;93556359.3;128582621.4;167524397.5;175942135.8;188170568.8;205938858.7;206523971.2;227365319.9
Gorod federal'nogo znacheniya Sevastopol';;;;;;;;;;;2320217.3;7206464.5;21394514.3;27468538.5;33666907.7;35854467.5;42034407.8;48009314.7
Respublika Dagestan;3640491.8;2385355.3;3646872;5952616.7;6277293.3;5315906.4;7986915.6;9065195.5;9972773.4;12621973.8;15190785.9;15444421.2;40162725.3;47221323.5;51761582.6;55636012.2;57081979.8;71501460.9
